Id	Label	value
0	agreeable	0
1	man	1
2	old	0
3	person	1
4	anything	1
5	short	0
6	arm	1
7	round	0
8	aunt	1
9	first	0
10	bad	0
11	air	1
12	boy	1
13	beautiful	0
14	black	0
15	face	1
16	letter	1
17	little	0
18	young	0
19	best	0
20	course	1
21	friend	1
22	love	1
23	part	1
24	room	1
25	thing	1
26	time	1
27	way	1
28	better	0
29	heart	1
30	mind	1
31	place	1
32	right	0
33	state	1
34	woman	1
35	word	1
36	door	1
37	eye	1
38	bright	0
39	evening	1
40	morning	1
41	certain	0
42	day	1
43	other	0
44	child	1
45	happy	0
46	common	0
47	dark	0
48	kind	0
49	night	1
50	dear	0
51	good	0
52	home	1
53	mother	1
54	pretty	0
55	open	0
56	early	0
57	fire	1
58	full	0
59	great	0
60	master	1
61	moment	1
62	work	1
63	general	0
64	fancy	0
65	voice	1
66	head	1
67	hope	1
68	long	0
69	greater	0
70	hand	1
71	hard	0
72	red	0
73	life	1
74	glad	0
75	large	0
76	new	0
77	white	0
78	late	0
79	whole	0
80	light	0
81	manner	1
82	bed	1
83	house	1
84	low	0
85	money	1
86	ready	0
87	small	0
88	strange	0
89	thought	1
90	lost	0
91	alone	0
92	nothing	1
93	miserable	0
94	natural	0
95	half	1
96	wrong	0
97	name	1
98	pleasant	0
99	possible	0
100	side	1
101	perfect	0
102	poor	0
103	quiet	0
104	same	0
105	strong	0
106	something	1
107	true	0
108	usual	0
109	family	1
110	world	1
111	year	1
